Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Wii Sports,Wii,2006.0,Sports,82.53,76.0,51.0,8.0,322.0,E
Super Mario Bros.,NES,1985.0,Platform,40.24,,,,,
Mario Kart Wii,Wii,2008.0,Racing,35.52,82.0,73.0,8.3,709.0,E
Wii Sports Resort,Wii,2009.0,Sports,32.77,80.0,73.0,8.0,192.0,E
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,31.37,,,,,
Tetris,GB,1989.0,Puzzle,30.26,,,,,
New Super Mario Bros.,DS,2006.0,Platform,29.8,89.0,65.0,8.5,431.0,E
Wii Play,Wii,2006.0,Misc,28.92,58.0,41.0,6.6,129.0,E
New Super Mario Bros. Wii,Wii,2009.0,Platform,28.32,87.0,80.0,8.4,594.0,E
Duck Hunt,NES,1984.0,Shooter,28.31,,,,,
Nintendogs,DS,2005.0,Simulation,24.67,,,,,
Mario Kart DS,DS,2005.0,Racing,23.21,91.0,64.0,8.6,464.0,E
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,23.1,,,,,
Wii Fit,Wii,2007.0,Sports,22.7,80.0,63.0,7.7,146.0,E
Kinect Adventures!,X360,2010.0,Misc,21.81,61.0,45.0,6.3,106.0,E
Wii Fit Plus,Wii,2009.0,Sports,21.79,80.0,33.0,7.4,52.0,E
Grand Theft Auto V,PS3,2013.0,Action,21.04,97.0,50.0,8.2,3994.0,M
Grand Theft Auto: San Andreas,PS2,2004.0,Action,20.81,95.0,80.0,9.0,1588.0,M
Super Mario World,SNES,1990.0,Platform,20.61,,,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,20.15,77.0,58.0,7.9,50.0,E
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,18.25,,,,,
Super Mario Land,GB,1989.0,Platform,18.14,,,,,
Super Mario Bros. 3,NES,1988.0,Platform,17.28,,,,,
Grand Theft Auto V,X360,2013.0,Action,16.27,97.0,58.0,8.1,3711.0,M
Grand Theft Auto: Vice City,PS2,2002.0,Action,16.15,95.0,62.0,8.7,730.0,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,15.85,,,,,
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,15.29,77.0,37.0,7.1,19.0,E
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,15.14,,,,,
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,14.98,95.0,54.0,8.4,314.0,E
